Condo Name (ID),Address,Status,Last Update,Request Received Date,Review Completion Date,id
FRIENDLY VILLAGE NO. 3 (IL0234),6867-69 N OVERHILLCHICAGO IL 60631 COOK ,Accepted Without Conditions,Unavailable,01/04/2006,01/06/2006,356607
FULTON HOUSE (000680),345 N CANALCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288716
GARDENS AT HARDING AND (IL0909),ROSCOECHICAGO IL 60618 COOK ,Accepted Without Conditions,Unavailable,07/21/2009,07/27/2009,431183
GARDENS OF RAVENSWOOD (002369),SUNNYSIDE AVECHICAGO IL 60625 COOK ,Accepted Without Conditions,Unavailable,02/03/2015,03/04/2015,531350
GLENALBION (000427),6619 N GLENWOODCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288472
GLENLAKE (001967),6430 W BERTEAU AVECHICAGO IL 60634 -  0000 COOK ,Accepted Without Conditions,Unavailable,09/09/2009,09/10/2009,289940
GLENMOOR MANOR (000699),KENMORE AND GLENDALECHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288735
GLENROSE (000230),1349-55 W ROSEMONTCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288284
GLENWOOD (000749),5310-14 N GLENWOODCHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288784
GLENWOOD BRYN MAWR CONDOMINIUM (000139),GLENWOOD AND BRYN MAWRCHICAGO IL 60660 COOK ,Accepted Without Conditions,Unavailable,10/20/2015,10/21/2015,547471
GLENWOOD MANOR (000327),6652 N GLENWOODCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288376
GLENWOOD NORTHSHORE (002305),1407 W NORTH SHORE AVE UNIT 3CHICAGO IL 60626 COOK ,Accepted Without Conditions,Unavailable,05/23/2014,07/16/2014,517466
GLENWOOD-CATALPA (000675),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288711
GOLD COAST (000679),71 E DIVISIONCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288715
GOLD COAST GALLERIA (IL0512),CONDOMINIUMCHICAGO IL 60610 COOK ,Accepted Without Conditions,Unavailable,03/13/2008,03/14/2008,390823
GOLDEN COURT CONDOMINIUMS (IL0878),CHICAGO IL 60645 COOK ,Accepted Without Conditions,Unavailable,06/17/2009,06/19/2009,427163
GOTHAM LOFTS (000978),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,289003
GRACE SHEFFIELD (002089),CHICAGO IL 60613 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,290050
GRACE TERRACE (IL0754),CONDOMINIUMSCHICAGO IL 60618 COOK ,Accepted Without Conditions,Unavailable,01/16/2009,01/16/2009,413784
GRAND BRIAR (002477),W. BRIAR PLACE & SHERIDAN ROADCHICAGO IL 60613 COOK ,Accepted Without Conditions,Unavailable,03/10/2016,03/16/2016,556091
GRAND OHIO (000984),CHICAGO IL 60611 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,289009
GRAND ON GRANVILLE (IL1004),CHICAGO IL 60660 COOK ,HUD Accepted,Unavailable,10/18/2009,10/22/2009,440184
GRANVILLE BEACH (000697),6171 N SHERIDANCHICAGO IL 60607 COOK ,Accepted Without Conditions,Unavailable,11/28/2008,12/01/2008,288733
GRANVILLE TOWERS (000148),6166 N SHERIDAN RDCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288208
GRANVILLE-MENARD (000456),118-128 N MENARDCHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288500
GREEN STREET LOFTS (000577),400 S GREEN STCHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288620
GREENLEAF MANOR (000923),CHICAGO IL 60626 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288955
GREENVIEW - SCHREIBER CONDOMIN (002244),6436 N GREENVIEWCHICAGO IL 60626 COOK ,Accepted Without Conditions,Unavailable,06/26/2013,07/19/2013,502304
GREENWAY PARK (010022),CHICAGO IL 60637 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,211869
GREENWOOD PLACE (000830),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288862
HABERDASHER SQUARE LOFTS (000823),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288856
HALLMARK HOUSE 1 (000307),644-46 W SHERIDANCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288358
HAMILTON/GRANVILLE (000723),6158-60 N HAMILTONCHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288759
HAMLIN TOWERS CONDOMINIUM (IL0425),108-110 N HAMLINCHICAGO IL 60615 COOK ,Accepted With Conditions,Unavailable,07/20/2007,07/24/2007,379803
HAMPDEN TOWERS (000764),CHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288798
HARBOR POINT (001076),155 HARBOR DRCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,289095
HARBOR WAY CONDOMINIUM (IL0849),CHICAGO IL 60613 COOK ,Accepted Without Conditions,Unavailable,05/20/2009,05/21/2009,424183
HARVARD HOUSE (000250),3825 N PINE GROVECHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288303
HAWTHORNE COURT (000799),10609-10611 S PARKSIDECHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288832
HAWTHORNE POINT (IL0919),CONDOMINIUM ASSOCIATIONCHICAGO IL 60613 COOK ,Accepted Without Conditions,Unavailable,07/27/2009,07/31/2009,431843
HAZELTON PLACE (IL1170),CONDOMINIUMCHICAGO IL 60640 COOK ,Accepted Without Conditions,Unavailable,07/21/2010,08/16/2010,454025
HEATHERTON (000340),6121-23 N HOYNECHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288389
HENDERSON SQUARE (IL0652),CONDOMINIUMCHICAGO IL 60657 COOK ,Accepted Without Conditions,Unavailable,09/10/2008,09/12/2008,404603
HERITAGE AT MILLENNIUM PARK (000434),CHICAGO IL 60602 USA ,Accepted Without Conditions,Unavailable,05/02/2012,Unavailable,481025
